poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,景点名
70024349,BOBOZOO室内动物园·萌萌团主题店(万达广场乌鲁木齐德汇店),知识科普型,动物园,160988460,从面积，动物种类等各方面来说应该是新疆最大的室内动物园了。不只适合小朋友观看，大朋友也适合。,5.0,,,2019-09-18 发布点评,BOBOZOO室内动物园·萌萌团主题店(万达广场乌鲁木齐德汇店)
70024349,BOBOZOO室内动物园·萌萌团主题店(万达广场乌鲁木齐德汇店),知识科普型,动物园,166717929,感觉非常不错，很适合亲子游，带着小孩去转一转,5.0,,,2021-06-02 发布点评,BOBOZOO室内动物园·萌萌团主题店(万达广场乌鲁木齐德汇店)
70024349,BOBOZOO室内动物园·萌萌团主题店(万达广场乌鲁木齐德汇店),知识科普型,动物园,170237451,【景色】 【趣味】 【性价比】不错,5.0,,,2022-04-12 发布点评,BOBOZOO室内动物园·萌萌团主题店(万达广场乌鲁木齐德汇店)
38525868,且末县博物馆,知识科普型,博物馆,158985716,正门不在马路边，要绕到人民公园侧门才能看得到。 虽然就一层但展品还算丰富，介绍也很全面。 关于且末有野人、有最古老拨弦乐器—箜篌、战国时期的墓葬干尸、山海经中的异兽…… 今天才知道原来西王母是一个部族，首领职位名称就叫西王母。,5.0,,,2019-05-29 发布点评,且末县博物馆
38525868,且末县博物馆,知识科普型,博物馆,166302602,南疆环线必经之路，没什么可看的，这个博物馆也不知道好不好看，随便打个分，因为根本就没有进去，就是想告诉大家，现在没有开。 这个县城没什么可以看的，但是可以打卡一下，毕竟全国第二大县城，堪比一个安徽省。机场有大巴可以到。大巴去县城有飞机的时候都会在那里等。县城到机场可以打司机的电话。十块钱一个人。 沙尘暴很大。住宿建议无脑选速8，房间也是不错。旁边的沁园也可以，但是感觉速8更好。,5.0,,,2021-04-23 发布点评,且末县博物馆
38525868,且末县博物馆,知识科普型,博物馆,161906967,末县博物馆开建于2003年年底，总投资1200万元，建设面积1800平方米，是集自然、人文等各方面为一体的综合性博物馆。博物馆以“古国神韵”为主题，内部展厅分为九个展区。整体设计通过文物、模型、照片、版图等形式，直观展示了且末地方史的各个方面。缓步走进且末县博物馆，好像是进入了一条时光隧道，又好像是开始了一次神奇之旅。,4.0,,,2019-11-09 发布点评,且末县博物馆
38525868,且末县博物馆,知识科普型,博物馆,156877023,领略且末3000年文化的地方，虽然不大，值得一来,5.0,,,2018-10-05 发布点评,且末县博物馆
38525868,且末县博物馆,知识科普型,博物馆,158371792,地大物博，资源丰富，红枣味美甘甜，玉石上乘。,5.0,,,2019-04-11 发布点评,且末县博物馆
38525868,且末县博物馆,知识科普型,博物馆,159878313,这儿有楼兰美女，干尸比较完整，有和田美玉,5.0,,,2019-07-23 发布点评,且末县博物馆
38521937,东归博物馆,知识科普型,博物馆,157580835,景点就在龙山的附近。里面有很多的壁画，外面的称作。基层楼的一个东归纪念塔，非常的漂亮，也非常的宏伟。这是在龙山附近拍的，作为一个小资情调的体现。,5.0,,,2019-01-06 发布点评,东归博物馆
