poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,景点名
91492153,云藏文化体验空间,文化康乐型,文化小镇,188487979,老师特别好，虽然很忙，但仍细心热情，人超nice。明明下班了，还要加班帮我们补细节，老板给点加班费吧😚😚😚😚😚。而且也很划算，与商店里卖的价格差不多，还可以体验,5.0,,3小时,2024-08-06 发布点评,云藏文化体验空间
91492153,云藏文化体验空间,文化康乐型,文化小镇,166588568,云藏文化体验空间，在大昭寺广场前民族旅游商城四楼，走出电梯，首先映入眼帘的是一排转经筒，整个大厅具有浓厚的藏文化气息，雕花的木门，藏式桌椅，独特的装修风格。在这里，您可以穿上美丽的藏装拍一套有纪念意义的照片；在这里，访客可以安静地绘制一幅唐卡，还可以亲手制作独特的藏香，了解藏文化特色。,4.0,,,2021-05-18 发布点评,云藏文化体验空间
91492153,云藏文化体验空间,文化康乐型,文化小镇,166344055,第二次去了！感觉一个小型的民俗博物馆啊！会上瘾！地理位置很好 市中心大昭寺广场对面 就是在四楼 不太好找 不过一回生二回熟，有点隐于市的惊喜。场地很漂亮 门口和转经筒是亮点 里面可以自己动手做藏香 体验各种藏式绘画 还有泥塑什么的 都是简单易上手注重体验感的 而且个人觉得性价比很高 比较有意义    老板和服务生都是当地藏族，赞一个 特别真诚 认真负责,5.0,,,2021-04-27 发布点评,云藏文化体验空间
91492153,云藏文化体验空间,文化康乐型,文化小镇,165797767,云藏文化体验空间，是一个集参观、选购、体验高原各类土特产的艺会，位于拉萨城关商区的旅游商城楼上，这里有各式藏式的工艺制品、唐卡、香料、滋补品，还有手工器具、绘图、服饰等，虽然空间不算大，但是陈列得干干净净、琳琅满目。,4.0,,,2021-02-20 发布点评,云藏文化体验空间
91492153,云藏文化体验空间,文化康乐型,文化小镇,171561602,【景色】环境很好，非常的有氛围，店里面的作品都非常的漂亮，一眼爱😍 【趣味】会画画的不会画画的都可以来，画不好有大师帮你修图，画的好就是妥妥的爱了😍😍😍 【性价比】特别的高，很值得来体验，非常的划算 画唐卡真的超值得体验，不光有乐趣，还可以作为纪念品，特别特别的有意义，大家一定要来体验一次！！！,5.0,,,2022-07-15 发布点评,云藏文化体验空间
91492153,云藏文化体验空间,文化康乐型,文化小镇,175434411,非常好的体验！！！真的巨美（我自己画的和师傅修的差距太大了），简直是心想事成！师傅们人特别好，是来拉萨不可错过的体验，真的太好了！,5.0,朋友出游,,2023-04-07 发布点评,云藏文化体验空间
91492153,云藏文化体验空间,文化康乐型,文化小镇,175432114,体验藏族文化,5.0,单独旅行,,2023-04-07 发布点评,云藏文化体验空间
91492153,云藏文化体验空间,文化康乐型,文化小镇,169130673,非常有意思,5.0,单独旅行,,2022-01-14 发布点评,云藏文化体验空间
10758786,千年核桃王景区,文化康乐型,文化小镇,163741443,这是第一次做客藏民的家，挺有意思的，感受到了藏族兄弟的热情。  ⛰【景点攻略】 📍详细地址： 九寨沟景点附近 🚗交通攻略： 旅游大巴 🕙开放时间： 晚上去的 💰门票价格： 旅游团 🌟亮点特色： 深入感受到了藏族的习俗以及各种规矩。对我国少数民族的生活有深刻的感受。 📌小Tips： 我们来到藏民姑娘拉姆家里做客，体验藏民族生活，一进门，淳朴善良、热情好客的藏族小姑娘献给每人一条哈达，作为贵客，拉姆邀请我们到她家的二楼客厅做客，我们围坐在桌子周围，拉姆端上来热腾腾的酥油茶，和自家做的牦牛奶渣，一边让我们细细品味，一边跟大家聊起她们民族的习俗。,5.0,,,2020-06-30 发布点评,千年核桃王景区
10758786,千年核桃王景区,文化康乐型,文化小镇,163608295,从林芝返回拉萨，风景也越来越接近心目中西藏的样子。到了西藏民俗第一村，这里既是著名的千年核桃村，也是西藏第一个家家通电话的村庄。 来客可在原生态的藏餐馆里，一边品尝着各式特色餐饮，一边欣赏着民俗文化表演队演绎的工布、门巴、珞巴、僜人的原生态歌舞。如若心痒，还可以参与工布地区特色的体育活动，射响箭、抱石头、挤牛奶、打核桃，尽情享受高山流水之间的闲适田园生活。,4.0,,,2020-06-07 发布点评,千年核桃王景区
