poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,景点名
64320969,中华仡佬族博物馆,知识科普型,博物馆,180374525,很好玩 我觉得很好玩 附近可以🎣钓鱼,5.0,,,2024-01-13 发布点评,中华仡佬族博物馆
140860423,中南门历史文化旅游区,知识科普型,历史文化遗产,174164506,算是铜仁市区里一个比较知名的旅游景点吧 规模还不小 里面的景点也不少 历史遗留的 现代指引的 在这里汇聚 感觉还不错 我去的时候是中午 太阳火辣辣 难怪也没见着什么人 问了一下保安才知道原来大家都是晚上了才过来 可惜下午的班机 也只能到此一游 走马观花了,5.0,,,2022-12-15 发布点评,中南门历史文化旅游区
140860423,中南门历史文化旅游区,知识科普型,历史文化遗产,175674527,陈修的非常漂亮，古镇的夜晚灯光非常漂亮，人气非常旺盛。,5.0,,,2023-04-30 发布点评,中南门历史文化旅游区
140860423,中南门历史文化旅游区,知识科普型,历史文化遗产,169572060,铜仁值得一去的地方，欢迎你们的到来！,5.0,,,2022-02-19 发布点评,中南门历史文化旅游区
140860423,中南门历史文化旅游区,知识科普型,历史文化遗产,163888526,铜仁古城，中南门是最具代表性的地方！,5.0,,,2020-07-22 发布点评,中南门历史文化旅游区
140860423,中南门历史文化旅游区,知识科普型,历史文化遗产,168370842,值得一看的地方，欢迎你的到来吧。,5.0,,,2021-11-14 发布点评,中南门历史文化旅游区
124906846,中国仡佬民族文化博物馆,知识科普型,博物馆,206823072,这里学习到很多，虽然不大，但是环境很好,5.0,朋友出游,,2025-03-23 发布点评,中国仡佬民族文化博物馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,196358135,【景色】镇远古镇的博物馆很有特色。首先，入口处就是徽派建筑的设计，白墙灰瓦。而且两边是大黄色的灯笼串串挂。 博物馆虽然不大，很有特点，有賽龙舟，三月三等等的介绍。 【性价比】免费。,4.0,陪同父母,,2024-10-28 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,162706075,镇远县是贵州省的一个小县城。虽然这里的名气不大，但是景点还是很多的。尤其是这里的镇远古城。给人一种回到了明朝时期的感觉。镇远展览馆展示了许多贵州和镇远的关系图。可以来这里看完以后再去看看古城，这样会更好。,5.0,,,2020-01-22 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,162597778,位于古镇主街道上，规模不大，内部环境整洁，陈设古色古香，这里通过大量图文资料及出土文物，为参观者详细介绍了镇远古城的历史脉络，让大家了解它的诞生、发展及未来规划。,5.0,,,2020-01-12 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,173549709,到一个地方要了解当地的历史文化、风土人情，最好莫过于先参观一下当地的博物馆或展览馆。现在博物馆都不收费，它作为当地的文化地标，展示给大家。镇远博物馆就在步行街上，是原来的老建筑，与当地的环境氛围很协调。旅游,5.0,,,2022-11-09 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,172782966,博物馆本身的建筑也非常的有价值：原为邹姓家族祠堂，房子建造的很有特色，三面围墙是高高的封火墙，临街的“大门”建成石牌坊模样。 内部布局为两进天井的四合院，分前殿、后殿及两侧厢房。祠内现存的石雕、木雕均为上乘雕刻精品。  展览馆的陈列围绕镇远的“历史文化名城”为主题，内容有小镇的发展、民族风情、民族节日、民居撷萃等。值得一去。 这里是了解镇远古镇前世今生的好地方，一幅幅图片，一件件物件，都在展示着镇远作为曾经的军事重镇的悠久历史，深厚的文化积淀。 展览馆就在镇远古城最主要的大街——兴隆街上，免费参观，,4.0,朋友出游,,2022-09-23 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,160935913,这个景点是机缘巧合去的，因为要走的时候，由于修路，街道路上堵车，误打误撞停在博物馆旁边，我赶快下车迅速浏览了一圈，出来还下雨了，车也开出一段路，小雨中赶到前面的车里。博物馆里面的内容没仔细看，拍了照回来再研究。,4.0,,,2019-09-15 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,168077990,镇远博物馆不大，免费参观，主要介绍镇远的历史跟民俗文化，很快就能逛完。展览馆的陈列围绕镇远的“历史文化名城”为主题，内容有小镇的发展、民族风情、民族节日、民居撷萃等。值得一去。,4.0,,,2021-10-22 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,165375036,镇远博物馆 现展厅面积为300平方米 通过文字说明 图片等形式展示了镇远的历史沿革 风土人情 文物状况 自然风光等 是中国历史文化名城镇远的经典缩影,5.0,,,2020-12-23 发布点评,中国历史文化名城镇远展览馆
93639,中国历史文化名城镇远展览馆,知识科普型,博物馆,158008694,现在是镇远博物馆，里面不大，15分钟就可以逛完，主要是关于镇远历史的一些图片和文字介绍，地方虽然不大，但是建筑还蛮有特色的，而且了解一下镇远的历史也是挺有意义的！,4.0,,,2019-02-26 发布点评,中国历史文化名城镇远展览馆
