poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,sortType,commentTagId
13811280,023真人CS(大学城店),励志拓展型,大学,157784099,到底是怎么样的，有没有图片，票多少钱,5.0,,,2019-02-06 发布点评,,
130847943,万卷书台,知识科普型,植物园,212619177,重庆南川万卷书台景区以独特的喀斯特地貌为核心，层叠沉积岩形成的“万卷书”奇观堪称自然鬼斧神工之作，兼具雄、险、奇、秀之态，配合湖畔花海、溪流瀑布，宛如山水画卷。景区依托金佛山世界自然遗产资源，推出花谷露营、溯溪观月等体验项目，成为近年来重庆近郊露营热门地，2025年五一假期更因自然野趣与家庭友好型活动吸引大量游客。其创新门票收入分红制度，将5%收入分给村民，形成景村利益共同体，推动可持续发展。景区注重生态保护，通过“微改造”保留原生地貌，融合农田休闲与地质景观，兼顾旅游开发与乡村振兴。总体而言，万卷书台以自然奇观、沉浸式体验和社区共赢模式，成为兼具生态价值与文旅魅力的目的地，适合自然爱好者与家庭出游。,5.0,家庭亲子,1天,2025-05-22 发布点评,,
130847943,万卷书台,知识科普型,植物园,170759933,万卷书台，原来重庆还有这么漂亮的景区，真是陶冶情操的好地方。重庆金佛山万卷书台景区正式开园。该景区位于南川三泉镇石板沟，因怪石嶙峋，岩层叠错，宛如层层叠叠的书卷被放置在台上而得名。是集自然山水景观、乡村田园风光与地质景观、科普教育于一体的花卉旅游景区。,5.0,,,2022-05-23 发布点评,,
130847943,万卷书台,知识科普型,植物园,172987875,明年必须来二刷,5.0,家庭亲子,,2022-10-06 发布点评,,
130847943,万卷书台,知识科普型,植物园,175627969,千万别来，避雷！说是露营景区，实际上只有一些花草和石子路，没有营地位置，没有任何游玩设施。虽然有个人工水塘，但是不能下水，自己带了充气挺也不能玩。我跟保安说没什么可玩的，保安直接说“你可以不来”，我开车一百公里来就这？喊我们不能碰花草，喊我们紧挨着水塘扎帐篷，谁愿意啊？总结：要露营的别来，不露营的更别来！隔壁窑湾睡佛山38元的门票36小时，里面可玩的是这个十倍，这个60门票24小时抢钱呢？劝退！而且这个临崖看着很压抑,1.0,家庭亲子,,2023-04-26 发布点评,,
38366644,万州区博物馆,知识科普型,博物馆,201726512,重庆三峡移民纪念馆建筑面积15062平方米，总投资2.4亿元。建筑外观造型独特，由棱角分明的体块组成，宛若长江边耸立的岩石。内部建筑的公共空间融入了陡壁长峡这一三峡元素，建筑实体构成的连续、转折的倾斜&quot;崖壁&quot;以及&quot;崖壁&quot;自身大大小小的洞口，抽象展现了三峡两岸传统聚落的形态，在&quot;崖壁&quot;之上是&quot;一线天&quot;般的玻璃天窗，共同组成了三峡意象。于2016年10月26日开馆试运行，2018年5月18日正式开馆。现为国家一级博物馆，国家AAAA级旅游景区。 📍详细地址：万州区-南滨大道1561号 🕙营业时间：09：00-17：00 🚉交通攻略：公交38路、52路、58路到三峡移民纪念馆站下 ⏳游玩时间：1-2小时 💰门票价格:  免费开放 ，二楼游客中心可免费盖章，记得带盖章小本本。 ❤推荐理由：全国唯一一座为纪念三峡工程百万大移民而修建的专题性纪念馆。 🌟亮点特色：三峡库区重要的历史文化和移民文化收藏、保护、研究和展示中心。 📝注意tips：纪念馆马路对面忽忘打卡：一、滚滚长江边，是看日落非常棒的地方；二、万州区规展馆也值得一览；三、宽咖啡值得一品。,,朋友出游,1小时,2025-01-16 发布点评,,
38366644,万州区博物馆,知识科普型,博物馆,164885898,作为一个万州人，应该了解万州的人文历史，继承万州人勤劳、勇敢、服从大局的精神。纪念馆就是一个很好的学习场所，而且是免费的。,,,,2020-10-25 发布点评,,
38366644,万州区博物馆,知识科普型,博物馆,158619631,建筑风格很独特，一眼就能提起人们的兴趣。馆内展览品丰富多样，是万州不可不去的景点！,,,,2019-05-02 发布点评,,
38366644,万州区博物馆,知识科普型,博物馆,164178364,全国唯一一个关于三峡移民的纪念馆，在这可以了解移民们舍小家顾大家的精神，也可以了解全国对口支援三峡库区的很多案例，值得一去,,,,2020-08-20 发布点评,,
38366644,万州区博物馆,知识科普型,博物馆,156889316,首先博物馆是免费的，从外面看博物馆造型奇特，大门的墙壁仔细看的话会发现特别像三峡大坝的坝墙，这点设计非常不错,,,,2018-10-06 发布点评,,
