cluster,total_points,city_name,poi_type_知识科普型,holiday_寒假,holiday_春季学期,holiday_十一假期,top1_subtype,top1_ratio,top2_subtype,top2_ratio,top3_subtype,top3_ratio,top1_nametype,top1_name,top2_nametype,top2_name,top3_nametype,top3_name,holiday_暑假,holiday_五一假期,top4_nametype,top4_name,holiday_秋季学期,top5_nametype,top5_name,poi_type_体验考察型,poi_type_文化康乐型,poi_type_励志拓展型,poi_type_自然观赏型
0,7,上海,1.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,科技馆,0.7142857142857143,博物馆,0.14285714285714285,植物园,0.14285714285714285,上海科技馆,5,上海博物馆,1.0,长兴岛郊野公园,1.0,,,,,,,,,,,
1,8,北京,1.0,0.125,0.375,,博物馆,0.625,科技馆,0.375,,,中国地质博物馆,3,中国科学技术馆,3.0,国家自然博物馆,1.0,0.375,0.125,首都博物馆,1.0,,,,,,,
2,9,成都,1.0,0.1111111111111111,0.2222222222222222,,博物馆,0.8888888888888888,动物园,0.1111111111111111,,,杜甫草堂,3,成都自然博物馆,2.0,三星堆博物馆,1.0,0.5555555555555556,,成都川菜博物馆,1.0,0.1111111111111111,武侯祠,1.0,,,,
3,6,南京,0.6666666666666666,,0.5,,博物馆,0.3333333333333333,研学,0.3333333333333333,动物园,0.3333333333333333,紫金山天文台,2,红山森林动物园,2.0,中国科举博物馆(江南贡院),1.0,0.5,,江宁织造博物馆,1.0,,,,0.3333333333333333,,,
4,3,苏州,0.3333333333333333,0.3333333333333333,,,影视城,0.3333333333333333,大学,0.3333333333333333,博物馆,0.3333333333333333,海合安苏州阳澄半岛乐园,1,苏州大学(天赐庄校区),1.0,苏州状元博物馆,1.0,0.6666666666666666,,,,,,,,0.3333333333333333,0.3333333333333333,
5,3,辉县,,,,,自然保护区,1.0,,,,,河南宝泉旅游区,3,,,,,1.0,,,,,,,,,,1.0
6,4,武汉,0.75,,0.5,,动物园,0.5,博物馆,0.25,大学,0.25,中国地质大学-逸夫博物馆,1,武汉动物园,1.0,武汉大学,1.0,,,武汉野生动物王国,1.0,0.5,,,,,0.25,
7,4,厦门,0.75,0.25,,,科技馆,0.75,大学,0.25,,,厦门科技馆,3,厦门大学(思明校区),1.0,,,0.25,,,,0.5,,,,,0.25,
8,4,沈阳,1.0,0.5,,,博物馆,1.0,,,,,沈阳故宫,2,张学良旧居,1.0,辽宁省博物馆,1.0,0.25,,,,0.25,,,,,,
9,11,西安,1.0,0.09090909090909091,0.18181818181818182,,博物馆,1.0,,,,,陕西自然博物馆,5,秦始皇帝陵博物院(兵马俑),2.0,西安碑林博物馆,1.0,0.6363636363636364,,西安钟楼,1.0,0.09090909090909091,陕西历史博物馆,1.0,,,,
