poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,sortType,commentTagId,source,publish_date,city,景点名,sentiment,is_study,age_group,月份,季节,节假日
76144,上海博物馆,知识科普型,博物馆,202487706,感谢黎老师精彩的讲解～准备很充分！提前建群，发 PPT 让大家提前做功课，带着问题去游览，孩子说一看就是个“老师”😂做为一名学文的高中生，在初中时期就对古埃及文明感兴趣，当看到老师出示的图片和结合文物的讲解，就如知识再现。老师在讲解中也几次提到他的同学以及一些学术大师教授等，希望能对孩子未来的学习方向有一定的帮助～希望常联系～多向老师学习👍,5,家庭亲子,3小时,,,,2025-01-26,上海,,正面评论,TRUE,高中,1,冬,寒假
80261,上海科技馆,知识科普型,科技馆,163543496,非常值得一去，08年高三时候去过一次，位于浦东新区，馆内非常富有高科技，各种各样的野生动物及其树木与标本包括OPEC会议以前在这举行，非常具有跨里程碑意义。非常值得一去！很喜欢！上海科技馆是上海市人民政府为贯彻落实科教兴国战略，提高城市综合竞争力和市民科学文化素养而投资兴建的具有中国特色、时代特征、上海特点的综合性的自然科学技术博物馆，是对公众进行科普教育的公益性机构，是中国重要的科普教育基地和精神文明建设基地。有机会再去看看。,5,,,,,,2020-05-29,上海,,正面评论,TRUE,高中,5,春,春季学期
80261,上海科技馆,知识科普型,科技馆,162850232,适合初高中的学生去学习体验。也能学到一些东西 ，可以看到很多高科技，还有3d打印等等，也有很多地方有人讲解，基本上得一天。,4,,,,,,2020-02-15,上海,,正面评论,TRUE,初中，高中,2,冬,寒假
80261,上海科技馆,知识科普型,科技馆,158718902,赶上假期，人很多，从1楼逛到3楼，总体感觉适合初高中的学生，太小的宝儿，不适合。感觉，空间很大，但是没有很好的利用起来，科普的作用没有达到，全是空着的，楼很大，很宽敞，但是里面项目没有多少，另外全国的科技馆都对小孩子免费，这里为什么还收费,5,,,,,,2019-05-07,上海,,正面评论,TRUE,初中，高中,5,春,春季学期
80261,上海科技馆,知识科普型,科技馆,157939355,带孩子玩，孩子特别开心，早上九点钟不到就到门口了，先预约食物的旅行，再排队等待进去，入了馆内我们先上三楼参观，三楼适合初中高中生参观学习，孩子六岁不太感兴趣，到了二楼机器人他很喜欢，一楼儿童乐园，动物世界也感兴趣,5,,,,,,2019-02-17,上海,,正面评论,TRUE,高中,2,冬,寒假
80261,上海科技馆,知识科普型,科技馆,176746992,少儿科技启蒙教育非常好的地方初高中生来了也挺好，涨知识，,5,,,1,,,2023-06-23,上海,,正面评论,TRUE,初中，高中,6,夏,春季学期
30501652,长兴岛郊野公园,知识科普型,植物园,172925295,长兴岛是距离市区很近，仅需半小时航程。它也是规模较大的柑橘种植基地之一，素有“橘乡”、“净岛”、“长寿岛”之美称。景点主要有上海橘园、垂珠园、上海特技城、先丰度假村、石沙野生动物园、绿岛芦荡迷宫、星岛度假乡村俱乐部等，其中橘园处于长兴岛中部，是前卫农场万亩桔园中的一片精品园。每到深秋季节，岛上还会举办上海柑橘节，非常热闹。历来上海市区部分高中学校的学农活动也会选择长兴岛的橘园。,5,,,,,,2022-10-02,上海,,正面评论,TRUE,高中,10,秋,十一假期
75910,中国科学院西双版纳热带植物园,知识科普型,植物园,185680195,本来抱着带孩子去学习的心情去的，结果在窗口请的讲解是一位高中生，全程只是很机械式的告诉我们是什么植物，完全没有趣味性，导致我们失去了兴趣，真的建议这么重要的一个景点，能否多培养一些专业的讲解员，不要太糊弄，说是培训上岗，好歹也找一些专业的大学生吧，一个高中毕业生，根本不知道额外的知识，而且讲解费很贵，300多，真不知道哪里值三百多了，本来想退的，但看着小姑娘实习也不容易，但所以我们大老远去的游客来说真的很失望,3,家庭亲子,3小时,1,0,,2024-07-08,云南,,中性评论,TRUE,高中,7,夏,暑假
79726,建水燕子洞,自然观赏型,自然保护区,181665269,为什么没有成年学生买学生票还要要求身高不超过1米4，难道高一学生就得一米三啊？告诉身份证号还说不可以查询，没有带身份证的身高还得成人票，一米四以上的学生，侵犯学生权益,2,家庭亲子,1小时,,,,2024-05-01,云南,,负面评论,TRUE,高中,5,春,五一假期
75911,野象谷,自然观赏型,自然保护区,174721809,全程步行，大象喂食，大象学校可近距离接触大象，北门的亚洲象博物馆值得一看，走二期步栈道看到大象的几率高一点。还是值得一来的。PS：导游小哥哥郭猫猫还是很负责专业的。,5,家庭亲子,,,,,2023-01-27,云南,,正面评论,TRUE,高中,1,冬,寒假
84519,阿尔山国家森林公园,自然观赏型,国家公园,164423338,景色被景区的管理模式给完全糟蹋了。时间都被浪费了。建议避雷。本质上，这样性质的国家森林公园并不合适景区班车的形式(居然还不是流水班!)，因为景区太大，应该开放自驾，并配合徒步道，露营地等。丧。。。叹息。。。另外，景区将山火写成火山，将高一点的小湖写成天池，将沟写成大峡谷，将低一点的河流写成潭，总是让人有些。。。,1,,,1,0,,2020-09-13,内蒙古,,负面评论,TRUE,高中,9,秋,秋季学期
