city,age_group,count,age_ratio
上海,初中,6,0.014814814814814815
上海,大学,140,0.345679012345679
上海,小学,252,0.6222222222222222
上海,高中,7,0.01728395061728395
云南,初中,1,0.0196078431372549
云南,大学,30,0.5882352941176471
云南,小学,17,0.3333333333333333
云南,高中,3,0.058823529411764705
内蒙古,初中,1,0.04
内蒙古,大学,12,0.48
内蒙古,小学,11,0.44
内蒙古,高中,1,0.04
北京,初中,17,0.05723905723905724
北京,大学,148,0.4983164983164983
北京,小学,127,0.4276094276094276
北京,高中,5,0.016835016835016835
台湾,大学,4,0.25
台湾,小学,11,0.6875
台湾,高中,1,0.0625
吉林,初中,1,0.02631578947368421
吉林,大学,16,0.42105263157894735
吉林,小学,19,0.5
吉林,高中,2,0.05263157894736842
四川,初中,6,0.02214022140221402
四川,大学,92,0.33948339483394835
四川,小学,162,0.5977859778597786
四川,高中,11,0.04059040590405904
天津,初中,2,0.05128205128205128
天津,大学,22,0.5641025641025641
天津,小学,15,0.38461538461538464
宁夏,大学,6,0.5
宁夏,小学,6,0.5
安徽,初中,1,0.047619047619047616
安徽,大学,12,0.5714285714285714
安徽,小学,8,0.38095238095238093
山东,初中,4,0.046511627906976744
山东,大学,38,0.4418604651162791
山东,小学,42,0.4883720930232558
山东,高中,2,0.023255813953488372
山西,初中,3,0.08108108108108109
山西,大学,19,0.5135135135135135
山西,小学,15,0.40540540540540543
广东,初中,9,0.025
广东,大学,158,0.4388888888888889
广东,小学,191,0.5305555555555556
广东,高中,2,0.005555555555555556
广西,初中,1,0.043478260869565216
广西,大学,16,0.6956521739130435
广西,小学,5,0.21739130434782608
广西,高中,1,0.043478260869565216
新疆,大学,8,0.42105263157894735
新疆,小学,11,0.5789473684210527
江苏,初中,7,0.023178807947019868
江苏,大学,190,0.6291390728476821
江苏,小学,95,0.31456953642384106
江苏,高中,10,0.033112582781456956
江西,大学,8,0.27586206896551724
江西,小学,19,0.6551724137931034
江西,高中,2,0.06896551724137931
河北,大学,16,0.6956521739130435
河北,小学,7,0.30434782608695654
河南,初中,6,0.0594059405940594
河南,大学,45,0.44554455445544555
河南,小学,47,0.46534653465346537
河南,高中,3,0.0297029702970297
浙江,初中,5,0.03676470588235294
浙江,大学,75,0.5514705882352942
浙江,小学,55,0.40441176470588236
浙江,高中,1,0.007352941176470588
海南,大学,17,0.5151515151515151
海南,小学,16,0.48484848484848486
湖北,初中,2,0.004975124378109453
湖北,大学,350,0.8706467661691543
湖北,小学,46,0.11442786069651742
湖北,高中,4,0.009950248756218905
湖南,初中,2,0.038461538461538464
湖南,大学,30,0.5769230769230769
湖南,小学,19,0.36538461538461536
湖南,高中,1,0.019230769230769232
澳门,大学,1,0.16666666666666666
澳门,小学,5,0.8333333333333334
甘肃,初中,1,0.037037037037037035
甘肃,大学,16,0.5925925925925926
甘肃,小学,10,0.37037037037037035
福建,初中,4,0.0075046904315197
福建,大学,475,0.8911819887429644
福建,小学,50,0.09380863039399624
福建,高中,4,0.0075046904315197
西藏,大学,5,0.7142857142857143
西藏,小学,2,0.2857142857142857
贵州,大学,20,0.8333333333333334
贵州,小学,4,0.16666666666666666
辽宁,初中,3,0.0297029702970297
辽宁,大学,56,0.5544554455445545
辽宁,小学,38,0.37623762376237624
辽宁,高中,4,0.039603960396039604
重庆,初中,1,0.027777777777777776
重庆,大学,25,0.6944444444444444
重庆,小学,10,0.2777777777777778
陕西,初中,16,0.11594202898550725
陕西,大学,66,0.4782608695652174
陕西,小学,50,0.36231884057971014
陕西,高中,6,0.043478260869565216
青海,初中,1,0.05555555555555555
青海,大学,10,0.5555555555555556
青海,小学,6,0.3333333333333333
青海,高中,1,0.05555555555555555
香港,初中,1,0.07692307692307693
香港,大学,8,0.6153846153846154
香港,小学,3,0.23076923076923078
香港,高中,1,0.07692307692307693
黑龙江,初中,1,0.02857142857142857
黑龙江,大学,29,0.8285714285714286
黑龙江,小学,4,0.11428571428571428
黑龙江,高中,1,0.02857142857142857
