,city,研学评论比例,每1000条评论中研学评论数量
0,上海,0.039985,39.985346
1,云南,0.020005,20.004713
2,内蒙古,0.029874,29.873748
3,北京,0.043639,43.639053
4,台湾,0.030431,30.431107
5,吉林,0.017906,17.906022
6,四川,0.028065,28.06482
7,天津,0.037321,37.321016
8,宁夏,0.012811,12.811309
9,安徽,0.018926,18.926196
10,山东,0.02744,27.440347
11,山西,0.029336,29.336156
12,广东,0.030111,30.110878
13,广西,0.019472,19.47209
14,新疆,0.023581,23.581198
15,江苏,0.021087,21.087253
16,江西,0.029052,29.051606
17,河北,0.02087,20.870363
18,河南,0.058762,58.76187
19,浙江,0.013059,13.058968
20,海南,0.020387,20.386519
21,湖北,0.024525,24.525006
22,湖南,0.013988,13.988043
23,澳门,0.043885,43.885313
24,甘肃,0.021575,21.574671
25,福建,0.046525,46.525179
26,西藏,0.026613,26.612903
27,贵州,0.024399,24.398509
28,辽宁,0.024286,24.286083
29,重庆,0.035916,35.915896
30,陕西,0.022799,22.798874
31,青海,0.026076,26.076343
32,香港,0.029607,29.607251
33,黑龙江,0.014692,14.691678
