poi_type,age_group,count,age_ratio
体验考察型,大学,10,0.37037037037037035
体验考察型,小学,15,0.5555555555555556
体验考察型,高中,2,0.07407407407407407
励志拓展型,初中,3,0.0020134228187919465
励志拓展型,大学,1472,0.9879194630872483
励志拓展型,小学,11,0.00738255033557047
励志拓展型,高中,4,0.0026845637583892616
文化康乐型,初中,1,0.016666666666666666
文化康乐型,大学,25,0.4166666666666667
文化康乐型,小学,31,0.5166666666666667
文化康乐型,高中,3,0.05
知识科普型,初中,94,0.04541062801932367
知识科普型,大学,617,0.29806763285024157
知识科普型,小学,1302,0.6289855072463768
知识科普型,高中,57,0.02753623188405797
自然观赏型,初中,4,0.057971014492753624
自然观赏型,大学,39,0.5652173913043478
自然观赏型,小学,19,0.2753623188405797
自然观赏型,高中,7,0.10144927536231885
